ip1_1;ip1_2;ip1_3;ip1_4;ip1_port;ip2_1;ip2_2;ip2_3;ip2_4;ip2_port;anomaly
219;196;206;31;65397;192;168;0;102;80;20
219;196;206;31;46045;192;168;0;102;80;20
219;196;206;31;59013;192;168;0;102;80;20
219;196;206;31;21559;192;168;0;102;80;20
219;196;206;31;37392;192;168;0;102;80;20
219;196;206;31;30940;192;168;0;102;80;20
219;196;206;31;22660;192;168;0;102;80;20
219;196;206;31;49992;192;168;0;102;80;20
219;196;206;31;53309;192;168;0;102;80;20
219;196;206;31;47096;192;168;0;102;80;20
219;196;206;31;65150;192;168;0;102;80;20
219;196;206;31;36584;192;168;0;102;80;20
219;196;206;31;61365;192;168;0;102;80;20
219;196;206;31;9249;192;168;0;102;80;20
219;196;206;31;41557;192;168;0;102;80;20
219;196;206;31;16936;192;168;0;102;80;20
219;196;206;31;42364;192;168;0;102;80;20
219;196;206;31;13243;192;168;0;102;80;20
219;196;206;31;44610;192;168;0;102;80;20
219;196;206;31;58944;192;168;0;102;80;20
219;196;206;31;26714;192;168;0;102;80;20
219;196;206;31;62080;192;168;0;102;80;20
219;196;206;31;53261;192;168;0;102;80;20
219;196;206;31;10719;192;168;0;102;80;20
219;196;206;31;10298;192;168;0;102;80;20
219;196;206;31;13442;192;168;0;102;80;20
219;196;206;31;11611;192;168;0;102;80;20
219;196;206;31;52284;192;168;0;102;80;20
219;196;206;31;25076;192;168;0;102;80;20
219;196;206;31;23738;192;168;0;102;80;20
219;196;206;31;16368;192;168;0;102;80;20
219;196;206;31;8023;192;168;0;102;80;20
219;196;206;31;18716;192;168;0;102;80;20
219;196;206;31;12845;192;168;0;102;80;20
219;196;206;31;55350;192;168;0;102;80;20
219;196;206;31;29377;192;168;0;102;80;20
219;196;206;31;18071;192;168;0;102;80;20
219;196;206;31;59751;192;168;0;102;80;20
219;196;206;31;38709;192;168;0;102;80;20
219;196;206;31;63464;192;168;0;102;80;20
219;196;206;31;45123;192;168;0;102;80;20
219;196;206;31;14939;192;168;0;102;80;20
219;196;206;31;5747;192;168;0;102;80;20
219;196;206;31;46653;192;168;0;102;80;20
219;196;206;31;15676;192;168;0;102;80;20
219;196;206;31;60300;192;168;0;102;80;20
219;196;206;31;7338;192;168;0;102;80;20
219;196;206;31;30211;192;168;0;102;80;20
219;196;206;31;64491;192;168;0;102;80;20
219;196;206;31;24733;192;168;0;102;80;20
219;196;206;31;18416;192;168;0;102;80;20
219;196;206;31;72;192;168;0;102;80;20
219;196;206;31;56205;192;168;0;102;80;20
219;196;206;31;14635;192;168;0;102;80;20
219;196;206;31;21016;192;168;0;102;80;20
219;196;206;31;8928;192;168;0;102;80;20
219;196;206;31;17844;192;168;0;102;80;20
219;196;206;31;13806;192;168;0;102;80;20
219;196;206;31;5556;192;168;0;102;80;20
219;196;206;31;16753;192;168;0;102;80;20
219;196;206;31;13108;192;168;0;102;80;20
219;196;206;31;61330;192;168;0;102;80;20
219;196;206;31;18348;192;168;0;102;80;20
219;196;206;31;29082;192;168;0;102;80;20
219;196;206;31;17008;192;168;0;102;80;20
219;196;206;31;8587;192;168;0;102;80;20
219;196;206;31;10072;192;168;0;102;80;20
219;196;206;31;48047;192;168;0;102;80;20
219;196;206;31;14432;192;168;0;102;80;20
219;196;206;31;40950;192;168;0;102;80;20
219;196;206;31;3669;192;168;0;102;80;20
219;196;206;31;27336;192;168;0;102;80;20
219;196;206;31;18234;192;168;0;102;80;20
219;196;206;31;506;192;168;0;102;80;20
219;196;206;31;53909;192;168;0;102;80;20
219;196;206;31;26099;192;168;0;102;80;20
219;196;206;31;44745;192;168;0;102;80;20
219;196;206;31;33501;192;168;0;102;80;20
219;196;206;31;4504;192;168;0;102;80;20
219;196;206;31;31419;192;168;0;102;80;20
219;196;206;31;18876;192;168;0;102;80;20
219;196;206;31;30772;192;168;0;102;80;20
219;196;206;31;23849;192;168;0;102;80;20
219;196;206;31;41717;192;168;0;102;80;20
219;196;206;31;18492;192;168;0;102;80;20
219;196;206;31;50221;192;168;0;102;80;20
219;196;206;31;37272;192;168;0;102;80;20
219;196;206;31;17927;192;168;0;102;80;20
219;196;206;31;27;192;168;0;102;80;20
219;196;206;31;48324;192;168;0;102;80;20
219;196;206;31;57854;192;168;0;102;80;20
219;196;206;31;4158;192;168;0;102;80;20
219;196;206;31;55249;192;168;0;102;80;20
219;196;206;31;20872;192;168;0;102;80;20
219;196;206;31;57101;192;168;0;102;80;20
219;196;206;31;21832;192;168;0;102;80;20
219;196;206;31;26464;192;168;0;102;80;20
219;196;206;31;10617;192;168;0;102;80;20
219;196;206;31;31030;192;168;0;102;80;20
219;196;206;31;8196;192;168;0;102;80;20
219;196;206;31;39573;192;168;0;102;80;20
219;196;206;31;56854;192;168;0;102;80;20
219;196;206;31;29533;192;168;0;102;80;20
219;196;206;31;29663;192;168;0;102;80;20
219;196;206;31;19130;192;168;0;102;80;20
219;196;206;31;41938;192;168;0;102;80;20
219;196;206;31;35561;192;168;0;102;80;20
219;196;206;31;24872;192;168;0;102;80;20
219;196;206;31;51821;192;168;0;102;80;20
219;196;206;31;63306;192;168;0;102;80;20
219;196;206;31;45156;192;168;0;102;80;20
219;196;206;31;48276;192;168;0;102;80;20
219;196;206;31;65096;192;168;0;102;80;20
219;196;206;31;36730;192;168;0;102;80;20
219;196;206;31;47729;192;168;0;102;80;20
219;196;206;31;18903;192;168;0;102;80;20
219;196;206;31;23324;192;168;0;102;80;20
219;196;206;31;6912;192;168;0;102;80;20
